"URN", "IMG"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΕΛΛΑΣ[1]","urn:cite:perseus:epifacsimg.80@0.0581,0.6176,0.1311,0.0272"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΜΕΝ[1]","urn:cite:perseus:epifacsimg.80@0.1872,0.6236,0.0781,0.0199"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΠΡΩΤΕΙΑ[1]", "urn:cite:perseus:epifacsimg.80@0.2623,0.6236,0.1481,0.0239"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΤΕΧΝΗΣ[1]","urn:cite:perseus:epifacsimg.80@0.4094,0.6236,0.1281,0.0232"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΑΥΛΩΝ[1]", "urn:cite:perseus:epifacsimg.80@0.5365,0.6249,0.1141,0.0232"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΑΠΕΝΕΙΜΕΝ[1]", "urn:cite:perseus:epifacsimg.80@0.6496,0.6249,0.2072,0.0245"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΘΗΒΑΙΩΙ[1]","urn:cite:perseus:epifacsimg.80@0.0681,0.6435,0.1411,0.0239"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΠΟΥΑΜΩΝΙ[1]","urn:cite:perseus:epifacsimg.80@0.2122,0.6435,0.1732,0.0292"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΤΑΦΟΣ[1]", "urn:cite:perseus:epifacsimg.80@0.3814,0.6468,0.1131,0.0225"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@Δ'[1]", "urn:cite:perseus:epifacsimg.80@0.4975,0.6488,0.02,0.0186"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΟΔΕ[1]", "urn:cite:perseus:epifacsimg.80@0.5175,0.6494,0.0661,0.0212"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΔΕΞΑΤΟ[1]", "urn:cite:perseus:epifacsimg.80@0.5856,0.6494,0.1291,0.0205"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΣΩΜΑ[1]", "urn:cite:perseus:epifacsimg.80@0.7247,0.6474,0.0951,0.0258"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΠΑΤΡΟΣ[1]", "urn:cite:perseus:epifacsimg.80@0.0711,0.6687,0.1211,0.0305"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΔΕ[1]", "urn:cite:perseus:epifacsimg.80@0.1902,0.6706,0.044,0.0192"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΜΝΗΜΑΙΣΙΝ[1]", "urn:cite:perseus:epifacsimg.80@0.2352,0.672,0.1982,0.0225"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΟΛΥΝΠΙΧΟΥ[1]", "urn:cite:perseus:epifacsimg.80@0.4304,0.672,0.1962,0.0219"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΑΥΞΕΤ'[1]", "urn:cite:perseus:epifacsimg.80@0.6246,0.6726,0.1121,0.0212"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΕΠΑΙΝΟΣ[1]", "urn:cite:perseus:epifacsimg.80@0.7367,0.6693,0.1481,0.0292"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΟΙΟΝ[1]", "urn:cite:perseus:epifacsimg.80@0.0731,0.6912,0.0801,0.0285"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΕΤΕΚΝΩΣΕΜ[1]", "urn:cite:perseus:epifacsimg.80@0.1491,0.6952,0.2192,0.0245"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΠΑΙΔΑ[1]", "urn:cite:perseus:epifacsimg.80@0.3634,0.6965,0.1141,0.0245"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΣΟΦΟΙΣ[1]", "urn:cite:perseus:epifacsimg.80@0.4745,0.6965,0.1251,0.0239"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΒΑΣΑΝΟΝ[1]", "urn:cite:perseus:epifacsimg.80@0.5926,0.6972,0.1682,0.0245"
